timestamp,var_95_mc,var_99_mc,latency_mc_ms
2026-05-01 13:30:00,2111.5995406760176,2890.268224691925,1.8008990009548143
2026-05-01 13:31:00,2120.692031698388,2974.654534004484,1.7412579982192256
2026-05-01 13:32:00,2097.0508240064696,2936.535949285288,1.6342769995389972
2026-05-01 13:33:00,2089.3726240551405,2934.254198528975,1.6588779999437975
2026-05-01 13:34:00,2090.307063786185,2997.3603384575963,1.757175999955507
2026-05-01 13:35:00,2125.3430406651933,2953.6592294799093,1.7260639997402905
2026-05-01 13:36:00,2023.014326928472,3031.196858476003,1.7248240001208615
2026-05-01 13:37:00,2080.532366845662,2928.056962179436,1.3972659999126336
2026-05-01 13:38:00,2124.9703057370657,2970.513794621367,1.2839789997087792
2026-05-01 13:39:00,2099.0108627921422,2926.772629658847,1.2000489987258334
2026-05-01 13:40:00,2081.364695954829,2867.366851501182,1.0785960002976935
2026-05-01 13:41:00,2077.9887251132154,2943.3028543533624,1.156532000095467
2026-05-01 13:42:00,2075.8354422073594,2979.5754167348136,1.2113149987271754
2026-05-01 13:43:00,2045.2696250182878,2926.61357996331,1.0992690004059114
2026-05-01 13:44:00,2047.4169826689983,2931.076778250668,1.135962000262225
2026-05-01 13:45:00,2095.0802328442614,2923.928781419668,1.0480000000825385
2026-05-01 13:46:00,2086.069457895814,2950.6952692469067,1.1120859999209642
2026-05-01 13:47:00,2052.3310066929566,2906.8236750639394,1.1084679990744917
2026-05-01 13:48:00,2045.087799912332,2873.3024630064497,1.4270339997892734
2026-05-01 13:49:00,2040.8873864135987,2843.8262876511176,1.1640779994195327
2026-05-01 13:50:00,2086.058304727427,2915.401539312792,1.0951340009341948
2026-05-01 13:51:00,2051.64349539436,2928.545643565175,1.1283139992883662
2026-05-01 13:52:00,2107.251014569042,2888.2558169309314,1.1516739996295655
2026-05-01 13:53:00,2070.1454893991227,2889.248661127508,1.1130160000902833
2026-05-01 13:54:00,2014.2649538690948,2904.3699385441573,1.1127060006401734
2026-05-01 13:55:00,2089.9770354050133,2942.8437178629965,1.1655250000330852
2026-05-01 13:56:00,2044.4255590640594,2860.729246012886,1.1201479992450913
2026-05-01 13:57:00,2060.726913604694,2957.4688600850745,1.093066999601433
2026-05-01 13:58:00,2119.411540003801,3095.8477624311595,1.0998889993061312
2026-05-01 13:59:00,2095.26534212081,2943.1567100808184,1.1567389992706012
2026-05-01 14:00:00,2092.8281499641453,2951.8723788709826,1.090895999368513
2026-05-01 14:01:00,2139.0634485023625,2887.768306594704,1.3964379995741183
2026-05-01 14:02:00,2044.5757697647593,2953.449917136288,1.3127150014042854
2026-05-01 14:03:00,2072.081810840188,2940.6816876795383,1.1972569991485216
2026-05-01 14:04:00,2104.594592307926,2960.716807002751,1.1386499991203891
2026-05-01 14:05:00,2107.770051148002,2928.6180324262273,1.0205060007137945
2026-05-01 14:06:00,2068.1110387718027,2892.30087265888,1.1459899997134926
2026-05-01 14:07:00,2119.0206622799315,2949.364444307615,1.292454999202164
2026-05-01 14:08:00,2072.3893852962588,2935.2099806097067,1.1469190012576291
2026-05-01 14:09:00,2091.5292276199566,2944.7472339836563,1.1354460002621636
2026-05-01 14:10:00,2107.762826816715,2912.022165618475,1.0645389993442222
2026-05-01 14:11:00,2081.0204172998156,2982.3149284220417,1.141855000241776
2026-05-01 14:12:00,2074.7713251454716,2900.1411756805587,1.4180409998516552
2026-05-01 14:13:00,2079.279984312322,2992.382706427752,1.8276699993293732
2026-05-01 14:14:00,2016.8150564856307,2837.7338468922285,1.6483350009366404
2026-05-01 14:15:00,2044.0450596967157,2967.718842149389,1.8110290002368856
2026-05-01 14:16:00,2080.006755501872,2823.6201751664003,1.8525810010032728
2026-05-01 14:17:00,2074.97191228824,2960.959299853129,1.6650800007482758
2026-05-01 14:18:00,2100.770527777752,2919.364111033087,1.7504579991509672
2026-05-01 14:19:00,2094.2833158842927,2946.016039137153,1.4832640008535236
2026-05-01 14:20:00,2062.988014665564,2919.195502305511,1.1697629997797776
2026-05-01 14:21:00,2051.725888609469,2916.5716483857077,1.1530179999681422
2026-05-01 14:22:00,2082.8445569523797,2929.352637601138,1.117357998737134
2026-05-01 14:23:00,2097.5802601019923,2978.4061913114424,1.1090879997937009
2026-05-01 14:24:00,2099.147806758578,2962.06781411119,1.1673850003717234
2026-05-01 14:25:00,2091.226576702035,2910.323714595235,1.231264001035015
2026-05-01 14:26:00,2106.9152518287665,2924.5900888371775,1.1526050002430566
2026-05-01 14:27:00,2039.1663633065518,2937.83602081412,1.122732999647269
2026-05-01 14:28:00,2078.913571085812,3012.0389455250724,1.1378239996702177
2026-05-01 14:29:00,2070.688181398354,2962.829467842548,1.071050000973628
2026-05-01 14:30:00,2093.3107985919787,2940.8614334260737,1.1223189994780114
2026-05-01 14:31:00,2081.4986098769946,2998.1598026099095,1.1904350012628129
2026-05-01 14:32:00,2089.2159802595356,2912.6868291719447,1.3047550000919728
2026-05-01 14:33:00,2043.9157896297181,2895.5147365283015,1.2133820000599371
2026-05-01 14:34:00,2094.512339135557,2995.0870374429346,1.0535820001678076
2026-05-01 14:35:00,2058.737769445842,2840.750300624735,1.1151870003232034
2026-05-01 14:36:00,2006.005212926493,2885.936134007923,1.1866099994222168
2026-05-01 14:37:00,2068.0213013105654,2850.1569087303105,1.1737940003513359
2026-05-01 14:38:00,2032.933879586245,2919.574984803486,1.105883999116486
2026-05-01 14:39:00,2083.2484649881935,2976.4820933680985,1.0843840009329142
2026-05-01 14:40:00,2074.4837635953872,2897.2281600248302,1.1428879988670815
2026-05-01 14:41:00,2090.0084710000638,2890.3658163591335,1.151156999185332
2026-05-01 14:42:00,2045.351823662039,2975.297296413379,1.3249109997559572
2026-05-01 14:43:00,2095.5710877395445,2891.636253060134,1.2552439984574448
2026-05-01 14:44:00,2068.069615101732,2899.920658967442,1.48553799954243
2026-05-01 14:45:00,2101.6897640781494,3003.340216809132,1.2459420013328781
2026-05-01 14:46:00,2088.299607984495,2861.7799959622803,1.3807270006509498
2026-05-01 14:47:00,2104.687016004095,2959.4753326242876,1.1036100004275795
2026-05-01 14:48:00,2089.5435218098773,2938.6070918966307,1.2594820000231266
2026-05-01 14:49:00,2124.8530908477296,2883.8184461254677,1.6407900002377573
2026-05-01 14:50:00,2092.784826017456,3004.100492837294,1.7566599999554455
2026-05-01 14:51:00,2091.5722884385978,2963.850236014762,1.233123999554664
2026-05-01 14:52:00,2046.5248350393238,2826.747546481029,1.2468710010580253
2026-05-01 14:53:00,2059.329199872726,2896.915113025405,1.9101550005871104
2026-05-01 14:54:00,2066.804151972818,2928.984382006567,2.0889349998469697
2026-05-01 14:55:00,2115.224691393489,2940.253099777661,1.851397999416804
2026-05-01 14:56:00,2045.4066413316962,2928.4413315739594,1.8056070002785418
2026-05-01 14:57:00,2090.93981583532,2893.1930459842697,1.6598610000073677
2026-05-01 14:58:00,2097.8780801374287,3001.38771921824,1.3440759994409746
2026-05-01 14:59:00,2098.6813325789635,2982.978373560283,1.3135820008756127
2026-05-01 15:00:00,2066.369491188818,2857.7774745445067,1.1877859997184714
2026-05-01 15:01:00,2008.8976707770369,2901.788745937708,1.1880950005433988
2026-05-01 15:02:00,2083.728253426925,2970.735294127532,1.1090199986938387
