,actual_loss,var_99,breach_99
2023-01-06,-946.8399472219098,1753.3979618379399,False
2023-01-09,-261.5778562650303,1799.239618685894,False
2023-01-10,-289.30684580690286,1812.671685766902,False
2023-01-11,-797.7400620090993,1826.8517645574218,False
2023-01-12,-256.2400210220003,1864.4179316339296,False
2023-01-13,-263.9937374124711,1882.0395748320914,False
2023-01-17,-212.184010461031,1894.7211684434922,False
2023-01-18,571.3037315499823,1908.052391103684,False
2023-01-19,394.96215516197844,1875.6363002588746,False
2023-01-20,-1091.8720459430333,1856.6276511119625,False
2023-01-23,-782.2419313637511,1906.2027107879248,False
2023-01-24,-52.31728572829161,1952.9118643161871,False
2023-01-25,123.23571906713187,1958.612555166506,False
2023-01-26,-823.783139270301,1949.0556758359633,False
2023-01-27,-311.40128469978663,1988.7148065540875,False
2023-01-30,891.6951473759327,2005.3833320916349,False
2023-01-31,-651.64680297819,1960.358578565151,False
2023-02-01,-751.1865531096773,1994.8447620271206,False
2023-02-02,-1486.4924417005313,2021.8303686911179,False
2023-02-03,377.40189401592215,2091.313747762618,False
2023-02-06,412.13902033141494,2084.9592470347834,False
2023-02-07,-1146.7173096954793,2065.266835331443,False
2023-02-08,508.9818078119861,2113.0397733954655,False
2023-02-09,380.307399986581,2096.92940706081,False
2023-02-10,137.5651446795091,2081.0914113751132,False
2023-02-13,-905.9524372715023,2069.575254087375,False
2023-02-14,-172.619575140714,2109.5491582392087,False
2023-02-15,-130.68359245741158,2120.2477065336802,False
2023-02-16,849.0380116139931,2118.0149839345195,False
2023-02-17,425.07511280795006,2077.047078482564,False
2023-02-21,1038.3732001906828,2052.5179348339725,False
2023-02-22,23.016100533030112,2004.3956924976358,False
2023-02-23,-608.3551857117855,2001.3337820431589,False
2023-02-24,747.3755678195448,2037.7391527848167,False
2023-02-27,-247.58039347745944,2003.6415903201448,False
2023-02-28,149.13716714132897,2012.2117257173138,False
2023-03-01,456.7567869066843,1995.228470270105,False
2023-03-02,-483.8621218705666,1970.086385157225,False
2023-03-03,-960.5925450972572,1994.9406253288766,False
2023-03-06,-254.87852685771213,2039.2618314964056,False
2023-03-07,583.2696749799215,2051.6731385454596,False
2023-03-08,-216.880502664324,2024.9750607844292,False
2023-03-09,645.5609899728515,2036.7187492372298,False
2023-03-10,639.8538434807997,1994.7744579186303,False
2023-03-13,-437.87870118331193,1966.654852869029,False
2023-03-14,-946.7099429862865,1975.2749183175533,False
2023-03-15,-244.53581609927642,2020.0710234069645,False
2023-03-16,-1251.0493963335175,2034.1324417837118,False
2023-03-17,54.37998125508602,2091.624077789911,False
2023-03-20,22.705653247707232,2088.1565481345015,False
2023-03-21,-500.71170581189654,2076.2630915520454,False
2023-03-22,450.542033122445,2097.6988420557714,False
2023-03-23,-537.1133610999314,2076.998310399574,False
2023-03-24,-291.34963266830164,2104.8388503128845,False
2023-03-27,403.207375725804,2115.1644245034463,False
2023-03-28,182.30371511462727,2094.638182369474,False
2023-03-29,-842.5573190663417,2081.05181472528,False
2023-03-30,-467.6683076136469,2119.949312807548,False
2023-03-31,-723.5715303492907,2143.794217227743,False
2023-04-03,-75.82669387638452,2174.692504346312,False
2023-04-04,183.47505047736195,2180.268519620637,False
2023-04-05,442.7942252176945,2168.282232101706,False
2023-04-06,-526.2819593337845,2146.547716053174,False
2023-04-10,228.95788479268958,2168.2624891737482,False
2023-04-11,493.52223149246856,2156.4810203890725,False
2023-04-12,211.10172258605598,2125.306579302551,False
2023-04-13,-1003.6851568317579,2115.4619027488284,False
2023-04-14,214.55636767332908,2158.3354521129277,False
2023-04-17,-198.6236134641149,2144.8835492510084,False
2023-04-18,-140.2805864927068,2154.4238908488937,False
2023-04-19,-104.95433808468078,2159.240685346931,False
2023-04-20,392.75120029531536,2157.7789527704235,False
2023-04-21,111.00850770101533,2138.2781395873976,False
2023-04-24,182.22742415288667,2130.3014020934957,False
2023-04-25,838.214144283811,2121.3245141329894,False
2023-04-26,-1021.5526374233887,2079.7055166868827,False
2023-04-27,-1262.8749772252777,2125.0993842606695,False
2023-04-28,-414.3438788897911,2184.4690338235687,False
2023-05-01,-6.44950310508284,2194.642610085504,False
2023-05-02,357.09786821718444,2197.098196492048,False
2023-05-03,301.08044952894124,2167.5691676032357,False
2023-05-04,202.36424544173497,2132.8174797964366,False
2023-05-05,-1300.626917047608,2122.061714880997,False
2023-05-08,26.25742572818126,2181.1259888500995,False
2023-05-09,365.06409068754874,2175.99358412284,False
2023-05-10,-561.2067073135986,2128.5407075201942,False
2023-05-11,109.13482736131846,2153.9292765551418,False
2023-05-12,192.10905557114165,2129.591154152729,False
2023-05-15,-138.36153125434794,2118.4554489551956,False
2023-05-16,-70.6428121819481,2109.283976246035,False
2023-05-17,-527.3773148025939,2111.141807715304,False
2023-05-18,-815.3476939236352,2122.194761892271,False
2023-05-19,80.41286960826983,2160.12675484073,False
2023-05-22,-96.01775617602107,2151.5911163351816,False
2023-05-23,764.7462392830566,2120.7278850393595,False
2023-05-24,192.1831158110217,2087.3125674406647,False
2023-05-25,-1721.4414966152544,2083.0411924740783,False
2023-05-26,-994.7545015174983,2165.103319475589,False
2023-05-30,-217.79560229415802,2220.396369348084,False
2023-05-31,483.25842990703677,2235.288882670387,False
2023-06-01,-813.3419502845645,2203.044795200069,False
2023-06-02,-390.1086073424085,2228.8505692295043,False
2023-06-05,100.56691321243125,2244.422878667452,False
2023-06-06,161.11316876964702,2240.387428687607,False
2023-06-07,917.5813918619024,2226.3732479445707,False
2023-06-08,-580.3957585233074,2174.7066921643113,False
2023-06-09,-185.7009501652792,2205.096641224694,False
2023-06-12,-788.4062760988745,2212.948956464214,False
2023-06-13,-392.08011415610963,2245.4874942121587,False
2023-06-14,-476.3817356153595,2256.446460363653,False
2023-06-15,-892.2053113230504,2257.55711722924,False
2023-06-16,454.2736534414871,2260.9434903487513,False
2023-06-20,162.1152848369602,2245.547999353087,False
2023-06-21,568.6916693838357,2235.7716731261626,False
2023-06-22,-669.840064323158,2189.822177318428,False
2023-06-23,520.3500526027274,2217.4597367066553,False
2023-06-26,749.2898527309007,2186.292257540583,False
2023-06-27,-908.972661450658,2153.560029006714,False
2023-06-28,-95.56552292518609,2191.978806345798,False
2023-06-29,18.631288343443885,2182.411188890915,False
2023-06-30,-1017.1230065833879,2179.339434027917,False
2023-07-03,176.3942828281215,2206.2874437389464,False
2023-07-05,99.19517862284556,2203.2101967186386,False
2023-07-06,15.669614333455684,2195.9641106863637,False
2023-07-07,296.8639955608596,2196.390349266598,False
2023-07-10,399.08333957554714,2183.1716542779777,False
2023-07-11,-143.59020381149458,2165.1411702230935,False
2023-07-12,-722.7934570317593,2166.6539121915275,False
2023-07-13,-798.9352763967181,2198.1997985169237,False
2023-07-14,-72.41132939188537,2231.347584782147,False
2023-07-17,-498.8354855676225,2232.068763548725,False
2023-07-18,-917.0781256767441,2253.099539491785,False
2023-07-19,129.53576723736478,2293.1107987165237,False
2023-07-20,1023.1820119066979,2286.005054761224,False
2023-07-21,383.4598567113062,2240.5095863863294,False
2023-07-24,-222.01655361182202,2216.3157857668975,False
2023-07-25,-552.7629723329082,2223.5372093759865,False
2023-07-26,621.1025609454737,2246.5738848787496,False
2023-07-27,486.3693578264065,2215.9346909267397,False
2023-07-28,-949.6127030436983,2199.5011909017767,False
2023-07-31,45.358967085521726,2233.291778972271,False
2023-08-01,122.2983248663586,2202.9117349964918,False
2023-08-02,1269.6819510397036,2195.5908622536053,False
2023-08-03,166.46533320684102,2137.163977906998,False
2023-08-04,680.442006117235,2140.0904932635053,False
2023-08-07,-160.05943129393563,2115.300309517589,False
2023-08-08,346.3724948496383,2114.5858812072447,False
2023-08-09,703.4402289497666,2099.453313222868,False
2023-08-10,-25.494811533739266,2067.9669309941078,False
2023-08-11,314.64491079361324,2069.8047525972875,False
2023-08-14,-734.6780506515861,2053.171923177338,False
2023-08-15,481.1091940179613,2078.1114275740433,False
2023-08-16,344.85656156263576,2064.36610048789,False
2023-08-17,567.62553117879,2046.7273466229988,False
2023-08-18,-3.3966909883893095,2025.935058696586,False
2023-08-21,-960.1869859326325,2027.594560971156,False
2023-08-22,50.79011006230576,2073.181697507007,False
2023-08-23,-931.1991700306535,2072.72949957465,False
2023-08-24,1057.980804452658,2104.9847722284303,False
2023-08-25,-350.64513465814525,2058.679742723644,False
2023-08-28,-381.37251746770926,2074.0385255170772,False
2023-08-29,-1099.4198027249295,2090.085631668963,False
2023-08-30,-424.5547620228681,2131.6328254612113,False
2023-08-31,8.855723319051322,2121.825039685292,False
2023-09-01,-81.25044141833496,2119.582050764385,False
2023-09-05,-214.51697600584885,2117.3525066771044,False
2023-09-06,834.5338509228386,2125.3821853046275,False
2023-09-07,713.4272537857105,2091.11815770568,False
2023-09-08,-217.22200195560436,2062.641164033491,False
2023-09-11,-425.33188874545885,2071.2434553886596,False
2023-09-12,726.8244785679053,2081.527324289405,False
2023-09-13,-173.2728586676385,2054.3930220750412,False
2023-09-14,-435.22232466153946,2060.0712043058065,False
2023-09-15,955.2577995816973,2071.7752008146012,False
2023-09-18,-177.8087470647588,1976.197057349459,False
2023-09-19,34.360075621225405,1987.6531839588972,False
2023-09-20,1018.4442979545129,1978.8689353409495,False
2023-09-21,680.9670586705906,1938.793553914641,False
2023-09-22,24.901626943777956,1919.2198723641206,False
2023-09-25,-275.10402822770993,1922.1646155779256,False
2023-09-26,905.9251531419795,1928.4808066999021,False
2023-09-27,-7.561962904132088,1895.7067925693807,False
2023-09-28,-273.923201760801,1898.8915945564788,False
2023-09-29,-156.94515737045003,1908.8134971758745,False
2023-10-02,-675.9822471886,1916.5563834985915,False
2023-10-03,959.4067936729334,1943.1269797880789,False
2023-10-04,-629.261319163008,1893.2999104707574,False
2023-10-05,-135.44956796220504,1915.6978964678715,False
2023-10-06,-974.7023681177234,1911.8922880286543,False
2023-10-09,-306.93810063271667,1933.05448954324,False
2023-10-10,-62.2859975621177,1946.7194130467642,False
2023-10-11,-515.3481773004387,1947.6735143130313,False
2023-10-12,91.49810321655241,1933.5081927133067,False
2023-10-13,635.348419973714,1929.3111312703854,False
2023-10-16,-530.1391820529971,1901.1755815379147,False
2023-10-17,387.8131695867487,1922.9931528122067,False
2023-10-18,655.5033663723734,1890.087869721469,False
2023-10-19,180.3614160729485,1849.12769445594,False
2023-10-20,771.4086217041477,1829.7220007678397,False
2023-10-23,-303.42900829439895,1802.8326210913765,False
2023-10-24,-343.5139473884992,1821.511446545432,False
2023-10-25,292.2998224877447,1833.7297837974559,False
2023-10-26,1376.8614904262795,1815.7053638339314,False
2023-10-27,-200.01681899958203,1762.6273428121308,False
2023-10-30,-813.0865575746284,1777.1738450104976,False
2023-10-31,-153.17095277308545,1781.9047834323062,False
2023-11-01,-1054.5621542656445,1783.5441986299224,False
2023-11-02,-885.0775477407733,1791.6870227322427,False
2023-11-03,-527.7330106664231,1822.7295642309232,False
2023-11-06,-503.12795993281907,1844.290642587566,False
2023-11-07,-527.8886767081858,1841.8060361944076,False
2023-11-08,-278.8355119032349,1849.3867678052113,False
2023-11-09,291.573280067365,1855.2884523213202,False
2023-11-10,-1287.5196668458739,1844.9454758548864,False
2023-11-13,272.10329388482205,1888.9457940777943,False
2023-11-14,-927.1325631372019,1873.3951630819856,False
2023-11-15,-5.138905554158555,1783.6296113340497,False
2023-11-16,-511.68555169149477,1780.1729596563168,False
2023-11-17,302.1061263191659,1793.8202962778953,False
2023-11-20,-826.2110433727212,1782.6235256712735,False
2023-11-21,404.1577209519819,1808.50926219232,False
2023-11-22,-246.3418475182625,1798.1531090835292,False
2023-11-24,216.0685130037309,1804.006633098093,False
2023-11-27,-57.57823178078252,1793.7666405560592,False
2023-11-28,-237.64051049566478,1793.2300477013503,False
2023-11-29,243.57566903813859,1798.2781300546633,False
2023-11-30,72.90895033002744,1789.8415661650504,False
2023-12-01,13.625518121123605,1773.1089883382072,False
2023-12-04,678.2378590299777,1768.185116306909,False
2023-12-05,-572.5268587259052,1694.5132199691643,False
2023-12-06,474.93805257510394,1717.250466819417,False
2023-12-07,-599.280064353341,1702.2164086705927,False
2023-12-08,-451.55234170482436,1716.4011715666006,False
2023-12-11,257.7093419876401,1720.7778187347892,False
2023-12-12,-505.5261450107573,1710.188001005395,False
2023-12-13,-592.0588673007078,1723.2744569947845,False
2023-12-14,334.27531758056284,1737.9729545825933,False
2023-12-15,-280.15657716388523,1720.777118035906,False
2023-12-18,-237.13574866199633,1729.483401714406,False
2023-12-19,-194.71838306537393,1737.1237390397735,False
2023-12-20,778.7528194277329,1708.3381687696092,False
2023-12-21,-473.46393116522086,1678.9837144645564,False
2023-12-22,-1.2061600261804415,1691.8688527763418,False
2023-12-26,-137.3153640523742,1692.4753930128895,False
2023-12-27,-40.54795232824108,1691.7250146079414,False
2023-12-28,-97.12241708090005,1673.4490024871568,False
2023-12-29,127.4850925303399,1676.5168021229074,False
2024-01-02,1140.8025231919746,1667.2266133816888,False
2024-01-03,399.82354300246516,1627.5392229116235,False
2024-01-04,349.68742997021764,1613.3015961084704,False
2024-01-05,-79.73859435076156,1606.7323511910495,False
2024-01-08,-1373.0058582784404,1608.0696778692623,False
2024-01-09,-114.85260962766188,1649.5844706549394,False
2024-01-10,-679.0022739996493,1655.1009999570176,False
2024-01-11,-112.39374884546851,1663.9487448800292,False
2024-01-12,-209.69646374502918,1669.4433074605108,False
2024-01-16,-41.84902092352422,1674.579547382746,False
2024-01-17,276.84746495174477,1673.4689410178603,False
2024-01-18,-1015.9813295139975,1665.2997915264232,False
2024-01-19,-1072.489429651927,1693.2161390458225,False
2024-01-22,-121.16248192410421,1730.5334632221518,False
2024-01-23,-315.7025104170971,1732.1239203539203,False
2024-01-24,-357.3738939304676,1736.196548342968,False
2024-01-25,-198.44164510108385,1730.9210587523278,False
2024-01-26,317.52721774896054,1726.8892980002659,False
2024-01-29,-601.0072022537497,1717.677369539138,False
2024-01-30,376.93521220803814,1737.535086533629,False
2024-01-31,1364.8060395532448,1721.637495934756,False
2024-02-01,-931.8261443409428,1684.6247671918784,False
