Date,AAPL,MSFT,NVDA,SPY,QQQ
2022-01-04,-0.012772663139843259,-0.017295687382892146,-0.027976279756272374,-0.00033493081079482374,-0.013055438263225144
2022-01-05,-0.026959998904307315,-0.03914424233977804,-0.05928574634065779,-0.01938885471016204,-0.031202622780716824
2022-01-06,-0.016834430677403013,-0.007933187027788597,0.020580759625833542,-0.0009398464784737651,-0.0007029861210340241
2022-01-07,0.0009879740816860505,0.0005095819589985591,-0.03359803818642457,-0.00396138829304928,-0.010891814760612987
2022-01-10,0.00011646641279412148,0.0007321511573112176,0.005599615244673928,-0.0012451939950104626,0.0006580043277772007
2022-01-11,0.01664430156217986,0.0022567738007846895,0.015104359288420835,0.009067154563538817,0.01491023750227595
2022-01-12,0.0025669335102320562,0.0103909935120093,0.006521534026092928,0.002699878736714613,0.003957715180238579
2022-01-13,-0.019211235072411886,-0.04324445785683208,-0.05219791286187533,-0.013874314486549088,-0.02533437789653991
2022-01-14,0.005097354526267273,0.01756150978071787,0.013715461526118501,0.00040884982176149005,0.0062033249139495
2022-01-18,-0.019074835218069134,-0.024640296708491542,-0.03932749394823471,-0.017868464509935664,-0.025209178148429136
2022-01-19,-0.02124888875610749,0.002244318562182283,-0.032806647468202756,-0.010437625531164334,-0.011044556413532074
2022-01-20,-0.010400950408767684,-0.005719575709215798,-0.03726796779404281,-0.011129894571416082,-0.013073444038504696
2022-01-21,-0.012847561905830203,-0.01864084452718962,-0.03266009482832361,-0.01982579099641531,-0.028120342567768433
2022-01-24,-0.004875979740274564,0.0011476161758646269,-8.552858757364448e-05,0.0042376053865255765,0.004567516754852235
2022-01-25,-0.01145011067385561,-0.026948100484722865,-0.04587632072021571,-0.012284158998558012,-0.023454452100342707
2022-01-26,-0.0005631744129319431,0.028094933856088678,0.019869358523438175,-0.002511769806941897,-0.001565812099636212
2022-01-27,-0.002947752974574009,0.010493764384188524,-0.037038068272865994,-0.004950270661349893,-0.010121622998980243
2022-01-28,0.06745091259738166,0.02769432139766167,0.04001984813512595,0.024532060881209364,0.030887158103170612
2022-01-31,0.025790301821405067,0.008785196103999074,0.0695880560949629,0.017850787812803946,0.03147761223447671
2022-02-01,-0.0009731240215603364,-0.007164274916671163,0.0061885649238003345,0.00673404810645174,0.006780645768097006
2022-02-02,0.007019466162059371,0.01510741183612534,0.024219105989529456,0.009667257223329787,0.008092194984013205
2022-02-03,-0.016861046122477588,-0.03973141176502704,-0.05262451280624444,-0.023785603856466105,-0.041388359039093284
2022-02-04,-0.001680887931821931,0.015448379949281369,0.01537310411762324,0.004691312008901979,0.012535975943734876
2022-02-07,-0.004243472294285262,-0.016444614885460878,0.01667837473384594,-0.0032145391682694728,-0.008077051743858851
2022-02-08,0.01829817543398556,0.011924064483899686,0.015250430256603748,0.008194197555967961,0.011172617237766637
2022-02-09,0.008259817263780438,0.021599696430018054,0.06166436370729635,0.014530112731075715,0.020969383116799956
2022-02-10,-0.02388196341096118,-0.028783287914992562,-0.033546533265908236,-0.018129035387576223,-0.022892573589741897
2022-02-11,-0.02042547646342136,-0.02457363819799772,-0.07537800291107498,-0.019915722038369343,-0.032235635015709606
2022-02-14,0.0014220756299529536,-0.00013554735946372002,0.013190894645753397,-0.003274553716244728,0.0012381094341841912
2022-02-15,0.022888615090843934,0.018372290659491967,0.08783862478716195,0.015998156440131445,0.024560104762944897
2022-02-16,-0.0013899638494164175,-0.0011677598788461428,0.0006037819517491727,0.0011200715743827111,-0.0002527420145834269
2022-02-17,-0.021498651241427583,-0.02971931921483132,-0.0786009437958905,-0.02159282496994502,-0.03019512104866083
2022-02-18,-0.009399644163589363,-0.00967770486513592,-0.035934013028993114,-0.006496104042869733,-0.011471038051205595
2022-02-22,-0.017972930676774468,-0.0007294146609341456,-0.010716128747759523,-0.010789756500758578,-0.010094409329518089
2022-02-23,-0.02620467889584333,-0.02623455099684449,-0.043828418281598544,-0.017897856923494,-0.025948977760236528
2022-02-24,0.016542733018148435,0.04983112075197112,0.05901806560806309,0.014937151058140396,0.03305210758778544
2022-02-25,0.012881988263732111,0.009190681736165012,0.017075668608191735,0.021824058592103963,0.015388142087937061
2022-02-28,0.0016367004310391753,0.0049658885126700235,0.009394303789243948,-0.0025617541074843394,0.002974222434739681
2022-03-01,-0.011695998707574347,-0.01293523892523729,-0.03794701518519782,-0.015347362760291302,-0.015429903538390391
2022-03-02,0.020379114485865078,0.01760980292119942,0.03132772263843971,0.018228986008632167,0.016640422585228094
2022-03-03,-0.001983263001516318,-0.014326398564453597,-0.021113100439125797,-0.004991075103416297,-0.014387787877042498
2022-03-04,-0.018579850832853614,-0.020691128725883613,-0.03335754962225776,-0.008157661745434724,-0.01459819353087895
2022-03-07,-0.0240032711932623,-0.038508823222379085,-0.07156257118762265,-0.029922449936120244,-0.037578560956638
2022-03-08,-0.011745005180476832,-0.01103204204641407,0.007558358359882845,-0.007610724433449741,-0.0046588930114252625
2022-03-09,0.03439921850620993,0.04483785885512681,0.06739903169618627,0.026457703053958243,0.03536535378501138
2022-03-10,-0.027562592575251368,-0.010137982320526557,-0.015589707096254133,-0.004525634845484845,-0.011166793545397853
2022-03-11,-0.02419917443198238,-0.01951750205786582,-0.024935376119667136,-0.012796652530533461,-0.020956521229359495
2022-03-14,-0.02692167032930048,-0.013045745164960475,-0.035463242520277424,-0.007335126423368345,-0.01939135332777432
2022-03-15,0.029245499165293558,0.03801082705604398,0.07420510821312637,0.021752093896187093,0.030884872759331213
2022-03-16,0.02860260881896683,0.024900746609657746,0.0641903447067917,0.021932023104072565,0.03641568312779758
2022-03-17,0.006433251763209031,0.0028154072529261807,0.010961711881331854,0.012433325666569559,0.01203344701757491
2022-03-18,0.020703189166758264,0.017494087672136234,0.06589794594459529,0.010893121077960853,0.020261333206057427
2022-03-21,0.008501327574264406,-0.004236372613366542,0.010566647970475518,-0.00029256748199241016,-0.0027839154853246196
2022-03-22,0.02058735005761761,0.016246511075224377,-0.007886151370613926,0.011633646997572404,0.01946188799316716
2022-03-23,0.008199770401848295,-0.015143889027196017,-0.03413036085963957,-0.012962088490780527,-0.014475567852983375
2022-03-24,0.022424540476049196,0.015275748871059047,0.09362765686230524,0.01496185783587702,0.02198332552231989
