timestamp,portfolio_value,var_95_rolling,var_99_rolling,var_95_ewma,var_99_ewma,sigma_p_rolling,sigma_p_ewma,latency_rolling_ms,latency_ewma_ms,weight_AAPL,weight_MSFT,weight_NVDA,weight_SPY,weight_QQQ
2026-05-01 13:30:00,100000.0,2119.1546530832024,2997.160866587741,1759.7167830462665,2488.8010276883106,0.012883545492195479,0.01069831840482778,0.3483339987724321,0.23504799901274964,0.20000000000000004,0.2,0.2,0.2,0.2
2026-05-01 13:31:00,100134.96594769889,2124.4129539986398,3004.5977819188433,1763.1462986819583,2493.6514570987797,0.012898105641339322,0.010704720651760286,0.2496229990356369,0.22088699915912002,0.1994997683383328,0.20000319985608303,0.20073372595909794,0.19983012830584873,0.19993317754063758
2026-05-01 13:32:00,100242.53739546763,2125.4127795156164,3006.0118542276,1764.0728720057598,2494.961927432826,0.012890328332785451,0.010698852826271421,0.2579949996288633,0.2547900003264658,0.20065762014478503,0.19947511130162798,0.20036686971513848,0.1997222005973399,0.19977819824110848
2026-05-01 13:33:00,100192.79166288025,2123.226239531198,3002.9193890009624,1762.9721372814088,2493.405137306386,0.012883460741972292,0.01069748569274983,0.24951900013547856,0.22895000074640848,0.2003174441661684,0.19979367917918991,0.19999397044987224,0.19988640330366236,0.200008502901107
2026-05-01 13:34:00,100081.68184485342,2120.6853117940404,2999.3257064126924,1761.401881462741,2491.1842945361827,0.012882328712648699,0.010699823262738115,0.2774280001176521,0.2558249998401152,0.19931481831941278,0.20027874625040043,0.19990369656186538,0.2001498861898621,0.20035285267845934
2026-05-01 13:35:00,100108.01125575986,2121.765743421349,3000.853781481532,1762.3084429234264,2492.466461710329,0.012885502001770554,0.0107025146576313,0.24714199935260694,0.2176830003008945,0.19876896549058315,0.2007258772992768,0.2000493523558306,0.2001496763843398,0.20030612846996965
2026-05-01 13:36:00,99995.0465733365,2118.2244366139544,2995.8452436835664,1760.1155653786532,2489.3650331511385,0.01287852810606419,0.01070127290896759,0.2542729998822324,0.2232650003861636,0.19836092205616537,0.20106619694357653,0.19967153060221612,0.20035102172275546,0.2005503286752865
2026-05-01 13:37:00,100063.6817054009,2119.470444576698,2997.607496523375,1760.8634338409215,2490.4227577892175,0.012877264906253487,0.010698476574337602,0.2506559994799318,0.22099099987826776,0.19919796488676939,0.20049352466507106,0.19963225788605096,0.20022469459164322,0.20045155797046532
2026-05-01 13:38:00,100016.02323098437,2118.57236890546,2996.337330963182,1760.0578246296106,2489.2833693078765,0.01287794199336412,0.010698677516622622,0.26802100001077633,0.2192329993704334,0.19918009370005824,0.20032563083266897,0.1996678462704495,0.20026742041178958,0.2005590087850337
2026-05-01 13:39:00,100156.18490410334,2121.7930939715534,3000.892463886629,1762.5652872510916,2492.829721544416,0.012879470285517709,0.010698925973476549,0.2721559994824929,0.22140399960335344,0.1994184568176996,0.20046266182277817,0.1997203162887853,0.19994284858941472,0.2004557164813221
2026-05-01 13:40:00,100334.78403377005,2126.7044825411485,3007.83873446673,1765.9940023085467,2497.6790186818066,0.01288630390815516,0.0107006570967186,0.24724499962758273,0.21995700080879033,0.19968684635557826,0.20030352340274743,0.20007189424587948,0.19967815869258007,0.20025957730321467
2026-05-01 13:41:00,100275.81240270693,2125.1036690615856,3005.5746734135782,1764.885863674929,2496.1117570651986,0.012884176783711421,0.010700231617736677,0.43753700083470903,0.23256799977389164,0.19954203695286746,0.2003682826677173,0.19996692270010655,0.19980941273094643,0.20031334494836212
2026-05-01 13:42:00,100222.95445616123,2124.5419022728465,3004.7801559238287,1764.1016347821874,2495.00260717642,0.012887564242925788,0.010701117791550193,0.21540899979299866,0.14419199942494743,0.1995692799201635,0.20005914440417177,0.2001565309757059,0.19987052796321905,0.20034451673673986
2026-05-01 13:43:00,100211.03938658172,2123.353233495561,3003.0989989882414,1763.3066292404542,2493.878215667317,0.012881885197155487,0.01069756704015975,0.16641499860270415,0.14016000022820663,0.20013911205361273,0.1997380124980249,0.19987833846992445,0.1998693620138789,0.20037517496455898
2026-05-01 13:44:00,100209.90170695669,2123.5374014251847,3003.359471205663,1763.359399872378,2493.952850179091,0.012883148761006937,0.010698008639936892,0.16910300109884702,0.14016100067237858,0.2000846326368834,0.1995280176622447,0.19994843104145119,0.19994914291648339,0.2004897757429374
2026-05-01 13:45:00,100218.37350492497,2122.8479676325733,3002.384391836013,1763.1985973388407,2493.7254240872458,0.012877877378131805,0.010696128821295614,0.16734500059101265,0.13550999938161112,0.20020956414354582,0.19994528203188167,0.19966568181701874,0.19984368966245186,0.20033578234510185
2026-05-01 13:46:00,100144.16008055082,2118.5162143820708,2996.2579105491327,1760.8513926577525,2490.4057277140746,0.012861123454562542,0.010689805908667678,0.16527700063306838,0.1369559995509917,0.20050696544449684,0.20031073266145252,0.19878874998467905,0.19993612915620565,0.2004574227531661
2026-05-01 13:47:00,100142.1845273137,2117.739086406167,2995.1588036225476,1760.536121912081,2489.959834282025,0.012856659277649918,0.010688102802989775,0.16383100046368781,0.16352100101357792,0.20060078423974878,0.20051013374374244,0.19855923411846896,0.19994598916362005,0.20038385873441975
2026-05-01 13:48:00,100213.67739369364,2118.6308984195707,2996.420110371933,1761.4637432384084,2491.2717868260434,0.012852897553429193,0.01068610537720931,0.16455500008305535,0.17034300071827602,0.20091398625294818,0.20048768741048714,0.19835817558592742,0.19985028455013104,0.20038986620050625
2026-05-01 13:49:00,100236.23352570066,2118.8472930514904,2996.726161429408,1761.7644662613584,2491.6971051362275,0.012851317754852834,0.010685524643225537,0.16744899949117098,0.1380930007144343,0.2009662569936287,0.2005727981624937,0.19826897987772768,0.19980254293533933,0.20038942203081048
2026-05-01 13:50:00,100259.69712213783,2117.961492926917,2995.473357409123,1761.3769899086437,2491.1490899362066,0.012842938850915944,0.010680674341980435,0.16827499894134235,0.13850700088369194,0.20164408194787842,0.20010154440861364,0.19785640335579865,0.19988579480376953,0.20051217548393976
2026-05-01 13:51:00,100144.49856923295,2115.320591391399,2991.738279969989,1759.3602628403721,2488.296794357487,0.012841680008322948,0.010680717432005838,0.1630039987503551,0.13695699999516364,0.2014182632508181,0.20011690881018396,0.19779667210393573,0.20005341111630606,0.20061474471875607
2026-05-01 13:52:00,100246.6829143443,2117.479882516313,2994.7922066146284,1761.0579260199509,2490.697831789596,0.01284168536640246,0.01068012592926405,0.16693200086592697,0.13892000060877763,0.20171279700837283,0.20023602777390614,0.1977930104867805,0.19985087542048696,0.2004072893104536
2026-05-01 13:53:00,100089.74068670333,2114.2794165235937,2990.2657264852674,1758.4065224311985,2486.9479010961577,0.012842381317276294,0.01068076759172063,0.16445100118289702,0.13613000010082033,0.20141130669487858,0.19984483795105015,0.19784540517865767,0.20017395156430393,0.20072449861110958
2026-05-01 13:54:00,100093.20084732797,2113.182695422075,2988.714612902194,1758.1445965302862,2486.577454296054,0.012835275981624022,0.010678807450465127,0.16600200069660787,0.1390230008837534,0.2013191173935789,0.20029916354977428,0.19746185777075695,0.20019334437099576,0.20072651691489413
2026-05-01 13:55:00,100201.18908710359,2117.400021829593,2994.679258121384,1760.620377027876,2490.0789979001706,0.012847031266688937,0.01068232020367247,0.1632109997444786,0.19825100025627762,0.20137169230414648,0.19954295224977212,0.1980907586747454,0.20018793545897964,0.20080666131235642
2026-05-01 13:56:00,100093.45675199025,2113.869156227748,2989.6854875196814,1758.3876838607223,2486.9212573464292,0.01283941265492035,0.010680256634571488,0.1633140000194544,0.1363359988317825,0.20112689200576467,0.19969010048864513,0.19769926043280084,0.20046989304293455,0.2010138540298548
