method,n_obs,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms
MC_1000,1,1.751766998495441,1.751766998495441,,1.751766998495441,1.751766998495441,1.751766998495441
MC_10000,1,1.5304070002457593,1.5304070002457593,,1.5304070002457593,1.5304070002457593,1.5304070002457593
MC_5000,1,0.7753099998808466,0.7753099998808466,,0.7753099998808466,0.7753099998808466,0.7753099998808466
Parametric_EWMA,151,0.14112764244377984,0.13353300164453685,0.02262486766094546,0.1297490016440861,0.2648759982548654,0.18556249960965943
Parametric_Rolling,151,0.16786054968648892,0.16061800124589354,0.020832399990633146,0.15583900312776677,0.2900689978559967,0.20483099979173858
