Date,AAPL,MSFT,NVDA,SPY,QQQ
2022-01-03,178.10362243652344,323.1607360839844,30.061140060424805,450.6444091796875,391.1861572265625
2022-01-04,175.84323120117188,317.6195068359375,29.231796264648438,450.4934997558594,386.11224365234375
2022-01-05,171.16583251953125,305.4267272949219,27.54913902282715,441.84307861328125,374.25054931640625
2022-01-06,168.3084716796875,303.0133056640625,28.12199592590332,441.4280090332031,373.987548828125
2022-01-07,168.47483825683594,303.1677551269531,27.192848205566406,439.68280029296875,369.9362487792969
2022-01-10,168.4944610595703,303.3898010253906,27.345544815063477,439.1356506347656,370.17974853515625
2022-01-11,171.32240295410156,304.07525634765625,27.761716842651367,443.1354675292969,375.7405700683594
2022-01-12,171.7627410888672,307.2513732910156,27.943357467651367,444.33349609375,377.2305908203125
2022-01-13,168.4944610595703,294.2476501464844,26.522186279296875,438.21124267578125,367.7937316894531
2022-01-14,169.35552978515625,299.4607238769531,26.888456344604492,438.39044189453125,370.0823669433594
2022-01-18,166.1557159423828,292.1720886230469,25.851524353027344,430.62664794921875,360.8695068359375
2022-01-19,162.66233825683594,292.82855224609375,25.017183303833008,426.1553039550781,356.9057922363281
2022-01-20,160.97926330566406,291.1584777832031,24.10200309753418,421.43853759765625,352.2701721191406
2022-01-21,158.92430114746094,285.78131103515625,23.327545166015625,413.16546630859375,342.502197265625
2022-01-24,158.15127563476562,286.1094665527344,23.325550079345703,414.9200134277344,344.0701599121094
2022-01-25,156.3507537841797,278.5023193359375,22.279634475708008,409.854248046875,336.0940856933594
2022-01-26,156.26272583007812,286.4377746582031,22.726743698120117,408.8260803222656,335.5682373046875
2022-01-27,155.8027801513672,289.45941162109375,21.900386810302734,406.8072814941406,332.1888732910156
2022-01-28,166.67434692382812,297.58782958984375,22.79461097717285,416.9105224609375,342.6093444824219
2022-01-31,171.02883911132812,300.2137145996094,24.43733787536621,424.4195251464844,353.5653991699219
2022-02-01,170.86248779296875,298.0705871582031,24.589038848876953,427.2872314453125,355.970947265625
2022-02-02,172.06607055664062,302.60784912109375,25.19183349609375,431.4379577636719,358.86322021484375
2022-02-03,169.18917846679688,290.8205261230469,23.90040397644043,421.2970275878906,344.3136291503906
2022-02-04,168.905029296875,295.3481140136719,24.270666122436523,423.2781066894531,348.6571044921875
2022-02-07,168.18980407714844,290.53094482421875,24.678855895996094,421.9196472167969,345.8523254394531
2022-02-08,171.2957000732422,294.0159912109375,25.058103561401367,425.3911437988281,349.7380676269531
2022-02-09,172.7164306640625,300.43572998046875,26.651931762695312,431.61724853515625,357.1492919921875
2022-02-10,168.64048767089844,291.9114685058594,25.772682189941406,423.8629455566406,349.06610107421875
