Datetime,AAPL,MSFT,NVDA,SPY,QQQ
2026-05-01 13:30:00,281.3999938964844,413.7149963378906,201.5625,721.1900024414062,669.8800048828125
2026-05-01 13:31:00,281.07501220703125,414.2799987792969,202.5749969482422,721.5499877929688,670.5599975585938
2026-05-01 13:32:00,283.010009765625,413.6300048828125,202.4219970703125,721.9349975585938,670.760009765625
2026-05-01 13:33:00,282.3900146484375,414.0849914550781,201.94500732421875,722.1699829101562,671.2000122070312
2026-05-01 13:34:00,280.6650085449219,414.6300048828125,201.6300048828125,722.3200073242188,671.6099853515625
2026-05-01 13:35:00,279.9700012207031,415.6650085449219,201.8300018310547,722.50927734375,671.6300048828125
2026-05-01 13:36:00,279.0799865722656,415.89990234375,201.22149658203125,722.4199829101562,671.6900024414062
2026-05-01 13:37:00,280.45001220703125,415.0,201.32000732421875,722.4600219726562,671.8200073242188
2026-05-01 13:38:00,280.2912902832031,414.4549865722656,201.25999450683594,722.27001953125,671.8599853515625
2026-05-01 13:39:00,281.0199890136719,415.3197021484375,201.59500122070312,722.1099853515625,672.4550170898438
2026-05-01 13:40:00,281.8999938964844,415.7300109863281,202.30999755859375,722.4400024414062,672.9949951171875
2026-05-01 13:41:00,281.5299987792969,415.6199951171875,202.0850067138672,722.489990234375,672.780029296875
2026-05-01 13:42:00,281.4200134277344,414.760009765625,202.1699981689453,722.3300170898438,672.530029296875
2026-05-01 13:43:00,282.19000244140625,414.0450134277344,201.86500549316406,722.2399291992188,672.552978515625
2026-05-01 13:44:00,282.1099853515625,413.6050109863281,201.93350219726562,722.52001953125,672.9299926757812
2026-05-01 13:45:00,282.30999755859375,414.5050048828125,201.6649932861328,722.2000122070312,672.469970703125
2026-05-01 13:46:00,282.5199890136719,414.9551086425781,200.63059997558594,721.9990234375,672.3800048828125
2026-05-01 13:47:00,282.6466064453125,415.3599853515625,200.39500427246094,722.0203857421875,672.1199951171875
2026-05-01 13:48:00,283.2900085449219,415.6099853515625,200.3350067138672,722.1900024414062,672.6199951171875
2026-05-01 13:49:00,283.427490234375,415.8800048828125,200.2899932861328,722.1799926757812,672.7698974609375
2026-05-01 13:50:00,284.45001220703125,415.0,199.9199981689453,722.6500244140625,673.339599609375
2026-05-01 13:51:00,283.80499267578125,414.55499267578125,199.6300048828125,722.4249877929688,672.9099731445312
2026-05-01 13:52:00,284.510009765625,415.2250061035156,199.8300018310547,722.4299926757812,672.9000244140625
2026-05-01 13:53:00,283.6400146484375,413.7650146484375,199.57000732421875,722.4650268554688,672.9099731445312
2026-05-01 13:54:00,283.5199890136719,414.7200012207031,199.19000244140625,722.5599975585938,672.9400024414062
2026-05-01 13:55:00,283.8999938964844,413.6000061035156,200.0399932861328,723.3200073242188,673.9349975585938
2026-05-01 13:56:00,283.25,413.4599914550781,199.42999267578125,723.5599975585938,673.905029296875
2026-05-01 13:57:00,283.16009521484375,413.70001220703125,199.97669982910156,723.5800170898438,674.2050170898438
2026-05-01 13:58:00,283.5115051269531,412.5849914550781,200.1699981689453,723.8049926757812,674.2901000976562
2026-05-01 13:59:00,283.95001220703125,412.17999267578125,200.4600067138672,724.1749877929688,674.9400024414062
2026-05-01 14:00:00,284.67999267578125,412.45001220703125,200.0500030517578,724.260009765625,674.7949829101562
2026-05-01 14:01:00,285.05999755859375,412.42498779296875,200.27499389648438,724.4199829101562,675.2650146484375
2026-05-01 14:02:00,284.8500061035156,412.5400085449219,200.1699981689453,724.3900146484375,675.2100830078125
2026-05-01 14:03:00,284.8598937988281,412.54998779296875,200.12989807128906,724.5900268554688,675.5700073242188
2026-05-01 14:04:00,285.2699890136719,411.614990234375,199.69000244140625,724.35400390625,675.3099975585938
2026-05-01 14:05:00,284.6899108886719,410.7049865722656,199.80999755859375,724.0599975585938,674.7901000976562
2026-05-01 14:06:00,285.2200012207031,411.5050048828125,200.10499572753906,724.2399291992188,675.1500244140625
2026-05-01 14:07:00,284.81048583984375,411.0101013183594,200.42999267578125,724.0900268554688,675.2100219726562
2026-05-01 14:08:00,285.414794921875,411.510009765625,200.01510620117188,724.0599975585938,674.9099731445312
2026-05-01 14:09:00,285.7829895019531,412.3240051269531,200.16990661621094,724.0523071289062,675.0765991210938
2026-05-01 14:10:00,286.0,412.7959899902344,200.05999755859375,724.0999755859375,674.9400024414062
2026-05-01 14:11:00,286.0,412.29290771484375,200.11500549316406,724.1500244140625,675.0700073242188
2026-05-01 14:12:00,286.92498779296875,412.340087890625,200.12989807128906,724.489990234375,675.4000244140625
2026-05-01 14:13:00,286.8299865722656,412.69000244140625,200.22000122070312,724.5399780273438,675.47998046875
2026-05-01 14:14:00,286.1000061035156,412.82000732421875,199.9788055419922,724.4500122070312,675.3099975585938
2026-05-01 14:15:00,285.9805908203125,412.0177001953125,199.69000244140625,724.22998046875,674.9600219726562
2026-05-01 14:16:00,286.20001220703125,411.7250061035156,199.7100067138672,724.4400024414062,675.0
2026-05-01 14:17:00,285.92999267578125,411.6549987792969,199.55999755859375,724.4450073242188,674.9199829101562
2026-05-01 14:18:00,285.989990234375,411.3841857910156,199.5709991455078,724.22998046875,674.6400146484375
2026-05-01 14:19:00,285.489990234375,412.1000061035156,200.0260009765625,724.4600219726562,675.0399780273438
2026-05-01 14:20:00,285.7349853515625,412.57501220703125,199.77999877929688,724.5700073242188,675.0499877929688
2026-05-01 14:21:00,285.6700134277344,412.8999938964844,199.81500244140625,724.719970703125,675.2849731445312
2026-05-01 14:22:00,285.5400085449219,412.69000244140625,199.9600067138672,724.780029296875,675.5499877929688
2026-05-01 14:23:00,285.4750061035156,411.92999267578125,199.8699951171875,724.6500244140625,675.3800048828125
2026-05-01 14:24:00,285.16009521484375,411.29998779296875,199.75,724.5850219726562,675.159912109375
2026-05-01 14:25:00,285.7200012207031,410.8900146484375,199.25010681152344,724.4650268554688,675.1199951171875
2026-05-01 14:26:00,285.5150146484375,410.8935852050781,199.53990173339844,724.469970703125,675.0850219726562
2026-05-01 14:27:00,285.32000732421875,411.4949951171875,199.51010131835938,724.5399780273438,675.0900268554688
2026-05-01 14:28:00,285.340087890625,411.5199890136719,199.58999633789062,724.3900146484375,675.0698852539062
2026-05-01 14:29:00,285.3399963378906,412.2950134277344,199.3000030517578,724.2587890625,674.864990234375
2026-05-01 14:30:00,285.20001220703125,412.4100036621094,198.63999938964844,723.8800048828125,674.260009765625
2026-05-01 14:31:00,284.7449951171875,413.3800048828125,198.47000122070312,723.8099975585938,674.25
2026-05-01 14:32:00,284.1400146484375,412.9150085449219,197.66000366210938,723.5700073242188,673.880126953125
2026-05-01 14:33:00,284.2699890136719,413.68499755859375,197.91439819335938,723.7974853515625,674.1400146484375
2026-05-01 14:34:00,284.2550048828125,413.9049987792969,197.56500244140625,723.2899780273438,673.4899291992188
2026-05-01 14:35:00,283.80499267578125,413.75,197.625,723.14990234375,673.260009765625
2026-05-01 14:36:00,283.67999267578125,413.1841125488281,197.8000030517578,722.72998046875,672.5700073242188
2026-05-01 14:37:00,283.5150146484375,412.3999938964844,197.65499877929688,722.3900146484375,672.14990234375
